Time (s),8b10bIBM_Hex
4.200054e-05,b3
4.205611e-05,26
4.211171e-05,1f
4.216728e-05,6c
4.222280e-05,43
4.227836e-05,08
4.233386e-05,a5
4.238942e-05,54
4.244499e-05,d3
4.250050e-05,52
4.255609e-05,34
4.261168e-05,02
4.266724e-05,95
4.272282e-05,55
4.277833e-05,8a
4.283389e-05,1b
4.288945e-05,be
4.294498e-05,1a
4.300052e-05,bb
4.305609e-05,3d
4.311165e-05,b7
4.316722e-05,56
4.322277e-05,fa
4.327832e-05,1b
4.333385e-05,0b
4.338943e-05,f6
4.344501e-05,53
4.350054e-05,41
4.355608e-05,9c
4.361165e-05,80
4.366721e-05,f0
4.372279e-05,4a
4.377831e-05,c3
4.383385e-05,7f
4.388946e-05,74
4.394501e-05,91
4.400055e-05,52
4.405608e-05,86
4.411167e-05,be
4.416724e-05,b6
4.422281e-05,a7
4.427830e-05,6f
4.433388e-05,7a
4.438943e-05,d6
4.444499e-05,e6
4.450056e-05,63
4.455607e-05,31
4.461164e-05,0c
4.466726e-05,fe
4.472280e-05,36
4.477838e-05,f0
4.483392e-05,29
4.488950e-05,ea
4.494503e-05,f3
4.500053e-05,1e
4.505613e-05,94
4.511168e-05,26
4.516723e-05,34
4.522274e-05,eb
4.527828e-05,17
4.533388e-05,3b
4.538943e-05,85
4.544495e-05,53
4.550050e-05,4d
4.555612e-05,dc
4.561162e-05,4a
4.566719e-05,e9
4.572274e-05,88
4.577828e-05,0e
4.583383e-05,20
4.588938e-05,5d
4.594490e-05,d0
4.600048e-05,ed
4.605607e-05,01
4.611165e-05,69
4.616720e-05,de
4.622278e-05,38
4.627829e-05,9e
4.633385e-05,fa
4.638940e-05,07
4.644489e-05,4b
4.650049e-05,db
4.655606e-05,68
4.661160e-05,7b
4.666714e-05,43
4.672275e-05,0a
4.677827e-05,45
4.683383e-05,08
4.688939e-05,d7
4.694488e-05,0d
4.700048e-05,96
4.705607e-05,98
4.711164e-05,e6
4.716720e-05,35
4.722275e-05,3f
4.727827e-05,a5
4.733383e-05,98
4.738942e-05,76
4.744495e-05,fe
4.750052e-05,15
4.755607e-05,f7
4.761162e-05,0e
4.766718e-05,c8
4.772274e-05,af
4.777825e-05,90
4.783380e-05,60
4.788935e-05,66
4.794490e-05,cb
4.800043e-05,d5
4.805598e-05,f0
4.811154e-05,fa
4.816707e-05,9f
4.822260e-05,00
4.827818e-05,82
4.833377e-05,2b
4.838933e-05,91
4.844489e-05,74
4.850046e-05,31
4.855598e-05,0e
4.861159e-05,1e
4.866718e-05,6a
4.872271e-05,f4
4.877829e-05,76
4.883382e-05,48
4.888937e-05,69
4.894490e-05,6d
4.900050e-05,f4
4.905604e-05,93
4.911158e-05,8a
4.916712e-05,cd
4.922269e-05,7b
4.927822e-05,7e
4.933375e-05,ad
4.938928e-05,13
4.944483e-05,15
4.950044e-05,ee
4.955598e-05,fe
4.961154e-05,72
4.966711e-05,1e
4.972268e-05,3b
4.977822e-05,aa
4.983375e-05,14
4.988932e-05,a0
